name,imo,flag
GLOBAL ASPHALT‡,9005338,PANAMA
GLOBAL BEAUTY,9221267,PALAU
GLOBAL CREST,9113094,PANAMA
GLOBAL DIGNITY,9309227,PANAMA
GLOBAL DOMINANCE‡,9672301,ANTIGUA & BARBUDA
GLOBAL EAGLE‡,9422847,COMOROS
GLOBAL ELEGANCE,9232955,UNKNOWN
GLOBAL EMERALD,8982888,PANAMA
GLOBAL EVEREST,9125724,PANAMA
GLOBAL FALCON‡,9399167,PALAU
GLOBAL GENESIS,9451501,COOK ISLANDS
GLOBAL HARVEST,9290775,BARBADOS
GLOBAL HAWK‡,9422859,COOK ISLANDS
GLOBAL LIBERTY,9350288,VIETNAM
GLOBAL MAHARANI‡,9546708,BARBADOS
GLOBAL PEACE‡,9555199,COOK ISLANDS
GLOBAL PEAK‡,9125712,GAMBIA
GLOBAL RANI,9136113,GUINEA-BISSAU
GLOBAL STAR,9164500,PANAMA
GLOBAL STAR‡,9198082,GUYANA (FALSE)
GLOBAL VIVIAN,9002908,PANAMA
GLORY,9247077,
GLORY STAR 1‡,9463528,
GOBY,9363833,MARSHALL ISLANDS
GOLDEN CONVERGENCE,9294678,PANAMA
GOLDEN EAGLE,9255684,
GOLDEN EAGLE II,9325817,PANAMA
GOLDEN GLORY,9246798,HONG KONG
GOODAL,9244374,LIBERIA
GRACEP,9252967,
GREAT SAIL,9177583,PALAU
GREEN LAND,9246449,ST KITTS & NEVIS
GRETA,9240512,UNKNOWN
GUANG TAI‡,9526693,GUYANA (FALSE)
GUNUNG GEULIS/PERTAMINA 8004,9398278,
HAI HUN,9251951,GAMBIA
HAISHEN,9286138,
HALO 6,9232448,GUYANA (FALSE)
HAMBURG DW,9014420,
HANA,9162916,GABON
HAPPY CAMPER,9277773,PANAMA
HARMONY,9397030,UNKNOWN
HARMONY STAR,9244623,PANAMA
HAWK,9246645,
HAWKS LIBERTY,9228722,
HAZEL (ex CLARA),9081837,UNKNOWN
HEBE,9259185,
HERA,9304356,
HERA,9326720,VIETNAM
HH GLORY,9534614,PANAMA
HONG LU,9208215,CURACAO (FALSE)
